heading|activity.type|activity.confidence|activity.timestampMs|verticalAccuracy|velocity|accuracy|longitude|latitude|altitude|timestampMs|userid
,UNKNOWN,2,1582206898000,,,3599,217411577,382643985,,1582206895000,55435242412a
,STILL,1,1582206960000,,,3599,217411577,382643985,,1582206957000,55435242412a
,IN_CAR,1,1582207022000,,,3599,217411577,382643985,,1582207019000,55435242412a
,IN_CAR,10,1582207084000,,,3599,217411577,382643985,,1582207081000,55435242412a
,IN_CAR,10,1582207146000,,,3599,217411577,382643985,,1582207143000,55435242412a
,STILL,100,1582207208000,,,3599,217411577,382643985,,1582207205000,55435242412a
,STILL,100,1582207271000,,,3599,217411577,382643985,,1582207268000,55435242412a
,STILL,100,1582207333000,,,3599,217411577,382643985,,1582207331000,55435242412a
,STILL,100,1582207401000,,,3599,217411577,382643985,,1582207398000,55435242412a
,STILL,100,1582207469000,,,3599,217411577,382643985,,1582207466000,55435242412a
,STILL,100,1582207538000,,,3599,217411577,382643985,,1582207535000,55435242412a
,STILL,100,1582207633000,,,3599,217411577,382643985,,1582207626000,55435242412a
,IN_CAR,1,1582207680000,2,,22,217417814,382661798,37,1582207656000,55435242412a
,UNKNOWN,2,1582207742000,,,16,217417756,382661693,,1582207734000,55435242412a
,UNKNOWN,1,1582207811000,,,16,217417756,382661693,,1582207815000,55435242412a
,IN_RAIL_VEHICLE,1,1582207935000,2,,17,217417713,382661626,37,1582207932000,55435242412a
,STILL,100,1582208119000,2,,17,217417713,382661626,37,1582208113000,55435242412a
,TILTING,100,1582208284000,,,17,217417734,382661655,,1582208256000,55435242412a
,STILL,100,1582208305000,,,17,217417734,382661655,,1582208314000,55435242412a
,TILTING,100,1582208428000,,,16,217417766,382662387,,1582208400000,55435242412a
,IN_CAR,10,1582208511000,,,2000,217419030,382655112,,1582208466000,55435242412a
,UNKNOWN,1,1582208589000,,,2000,217419030,382655112,,1582208586000,55435242412a
,STILL,100,1582208653000,,,2000,217419030,382655112,,1582208707000,55435242412a
,STILL,100,1582208894000,,,2000,217419030,382655112,,1582208827000,55435242412a
,STILL,100,1582209023000,,,17,217417800,382662542,,1582209028000,55435242412a
,IN_CAR,10,1582209071000,,,77,217417800,382662542,,1582209068000,55435242412a
,IN_RAIL_VEHICLE,1,1582209143000,,,24,217417860,382661880,,1582209149000,55435242412a
,TILTING,100,1582209230000,,,83,217417860,382661880,,1582209189000,55435242412a
,STILL,100,1582209255000,,,16,217417646,382662296,,1582209310000,55435242412a
,STILL,100,1582209381000,,,2000,217419030,382655112,,1582209432000,55435242412a
,STILL,100,1582209722000,,,26,217417578,382662223,,1582209562000,55435242412a
,STILL,100,1582210083000,,,26,217417578,382662223,,1582210083000,55435242412a
,IN_CAR,10,1582210474000,,,35,217417578,382662223,,1582210471000,55435242412a
,IN_CAR,10,1582210551000,,,68,217417716,382661612,,1582210508000,55435242412a
,STILL,100,1582210631000,,,23,217417729,382661646,,1582210628000,55435242412a
,TILTING,100,1582210804000,,,122,217418146,382662604,,1582210749000,55435242412a
,IN_CAR,10,1582211398000,,,2000,217419030,382655112,,1582210870000,55435242412a
,STILL,100,1582217694000,,,2000,217419030,382655112,,1582217688000,55435242412a
,STILL,100,1582217997000,,,2000,217419030,382655112,,1582217991000,55435242412a
,TILTING,100,1582218605000,,,2000,217419030,382655112,,1582218309000,55435242412a
,UNKNOWN,3,1582219180000,,,2000,217419030,382655112,,1582219177000,55435242412a
,STILL,100,1582219245000,,,24,217417801,382661880,,1582219210000,55435242412a
,UNKNOWN,2,1582219725000,,,16,217417744,382661594,,1582219722000,55435242412a
,RUNNING,1,1582219845000,,,23,217417702,382661657,,1582219867000,55435242412a
,IN_CAR,10,1582219883000,,,17,217417748,382661705,,1582219885000,55435242412a
,STILL,100,1582220020000,,,23,217417782,382661778,,1582220017000,55435242412a
,STILL,100,1582220401000,,,17,217417700,382661650,,1582220116000,55435242412a
,STILL,100,1582220523000,,,2000,217419030,382655112,,1582220577000,55435242412a
352,STILL,100,1582220643000,2,0,1011,217417863,382661745,37,1582220578000,55435242412a
,STILL,100,1582220828000,,,17,217417632,382661612,,1582220933000,55435242412a
172,STILL,100,1582221039000,,0,23,217417770,382661775,,1582221039000,55435242412a
,STILL,100,1582221341000,,,122,217419274,382663938,,1582221338000,55435242412a
,STILL,100,1582223520000,,,17,217417578,382662223,,1582223520000,55435242412a
183,STILL,100,1582223755000,,0,16,217417664,382661954,,1582223744000,55435242412a
,STILL,100,1582224129000,,,16,217417718,382662439,,1582224129000,55435242412a
,STILL,100,1582224496000,,,16,217417718,382662439,,1582224489000,55435242412a
,STILL,100,1582225536000,,,16,217417743,382662522,,1582225535000,55435242412a
,STILL,100,1582225933000,,,28,217417578,382662223,,1582225931000,55435242412a
,STILL,100,1582226473000,,,26,217417578,382662223,,1582226471000,55435242412a
,STILL,100,1582227393000,,,16,217417687,382662326,,1582227390000,55435242412a
,STILL,100,1582229822000,,,16,217417664,382662288,,1582229822000,55435242412a
,TILTING,100,1582230109000,,,29,217417556,382661865,,1582230216000,55435242412a
180,RUNNING,1,1582232788000,29,0,14,217416702,382660420,-9,1582232784000,55435242412a
316,STILL,100,1582232876000,,0,19,217417638,382661862,,1582232885000,55435242412a
,STILL,100,1582233668000,,,15,217417635,382661917,,1582233665000,55435242412a
,STILL,100,1582234083000,,,15,217417650,382661913,,1582234081000,55435242412a
,TILTING,100,1582235060000,,,17,217417595,382661887,,1582234585000,55435242412a
,STILL,100,1582236425000,,,17,217417689,382661752,,1582236421000,55435242412a
,TILTING,100,1582236588000,,,15,217417733,382661963,,1582236625000,55435242412a
,STILL,100,1582236726000,,,15,217417733,382661963,,1582236715000,55435242412a
,IN_CAR,10,1582237324000,,,116,217418510,382664835,,1582237323000,55435242412a
,TILTING,100,1582237377000,,,22,217417747,382661737,,1582237350000,55435242412a
,IN_CAR,1,1582237402000,,,23,217417768,382662005,,1582237411000,55435242412a
,UNKNOWN,2,1582237508000,,,23,217417748,382661802,,1582237511000,55435242412a
,IN_CAR,10,1582237576000,,,2000,217419030,382655112,,1582237542000,55435242412a
,IN_CAR,1,1582237908000,,,22,217417693,382661730,,1582237663000,55435242412a
,TILTING,100,1582286050000,,,2000,217419030,382655112,,1582286042000,55435242412a
,IN_CAR,10,1582286133000,,,2000,217419030,382655112,,1582286130000,55435242412a
,TILTING,100,1582286302000,,,16,217417660,382661523,,1582286215000,55435242412a
,IN_CAR,10,1582287201000,,,2000,217419030,382655112,,1582286400000,55435242412a
330,IN_CAR,10,1582289534000,19,2,9,217388867,382588400,4,1582288222000,55435242412a
,STILL,100,1582291029000,,,2000,217419030,382655112,,1582290993000,55435242412a
,STILL,100,1582291117000,,,2000,217419030,382655112,,1582291114000,55435242412a
,STILL,100,1582291184000,,,2000,217419030,382655112,,1582291236000,55435242412a
,STILL,100,1582291443000,,,2000,217419030,382655112,,1582291372000,55435242412a
,STILL,100,1582291541000,,,2000,217419030,382655112,,1582291537000,55435242412a
,STILL,100,1582291871000,,,2000,217419030,382655112,,1582291861000,55435242412a
,STILL,100,1582291934000,,,2000,217419030,382655112,,1582291920000,55435242412a
,STILL,100,1582292228000,,,2000,217419030,382655112,,1582292223000,55435242412a
,IN_CAR,1,1582292400000,,,2000,217419030,382655112,,1582292397000,55435242412a
,TILTING,100,1582292469000,,,16,217417524,382661995,,1582292450000,55435242412a
,STILL,100,1582292529000,,,16,217417524,382661995,,1582292526000,55435242412a
,STILL,100,1582293493000,,,16,217417616,382662260,,1582293488000,55435242412a
,STILL,100,1582294400000,,,16,217417770,382662478,,1582294398000,55435242412a
